	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GIMAP5	0.275897872	-20.53696133	3.791824071	-5.416116609	6.09E-08	3.20E-05
GOLGA8K	0.214587234	-20.23587131	3.792320844	-5.336012468	9.50E-08	4.68E-05
MAGEA9B	0.214587234	-20.23587131	3.792320844	-5.336012468	9.50E-08	4.68E-05
AC087721.2	0.122621277	-19.61050639	3.793990305	-5.16883408	2.36E-07	0.000101544
ARL5C	0.122621277	-19.61050639	3.793990305	-5.16883408	2.36E-07	0.000101544
CHST4	0.122621277	-19.61050639	3.793990305	-5.16883408	2.36E-07	0.000101544
GPR45	0.122621277	-19.61050639	3.793990305	-5.16883408	2.36E-07	0.000101544
SPACA6	0.122621277	-19.61050639	3.793990305	-5.16883408	2.36E-07	0.000101544
GPC3	0.21489731	-19.49330993	3.779482119	-5.157666927	2.50E-07	0.00010516
CCDC158	0.820709035	17.87795833	3.677510802	4.861429181	1.17E-06	0.000478457
PAOX	0.268058502	18.30611154	3.804086387	4.812222877	1.49E-06	0.000598536
SOX11	42.07025536	6.413986589	1.336222079	4.800090261	1.59E-06	0.000621509
ADCY3	117.0595974	-1.601082702	0.350040349	-4.573994699	4.79E-06	0.001833551
C16orf96	0.136374261	-17.12239801	3.819700862	-4.482654175	7.37E-06	0.002763391
COL24A1	0.636858206	16.87812903	3.804710533	4.436113833	9.16E-06	0.003305856
PRKG2	0.550046515	14.85145482	3.348612174	4.435107456	9.20E-06	0.003305856
C3	90.13296376	-4.30521572	0.979210968	-4.396617133	1.10E-05	0.003869155
TMEM132E	0.286041824	-15.785085	3.818207392	-4.134161238	3.56E-05	0.012285752
TBX4	0.329342444	15.67088407	3.809457938	4.113678199	3.89E-05	0.013165679
RAX2	0.226088022	15.63732957	3.819323952	4.09426636	4.24E-05	0.014043337
SLC22A1	0.274981993	15.51331471	3.813241675	4.06827472	4.74E-05	0.015408905
RPRD1A	34.82259932	1.599728785	0.394757248	4.052436765	5.07E-05	0.016185086
XPNPEP2	14.06584316	-6.338933104	1.580116525	-4.011687115	6.03E-05	0.018900324
AC270285.6	11.14924629	5.499232996	1.404255071	3.916121159	9.00E-05	0.027707357
SBSN	121.5557136	-3.866452919	1.001271416	-3.861543289	0.000112673	0.034084584
EIF2AK3	1.411945349	14.49816626	3.78544583	3.829975889	0.000128156	0.03809984
GUCY2D	0.170997176	14.4761045	3.818716752	3.790829601	0.000150145	0.043617504
MRPL49	31.96074483	2.532957083	0.668653209	3.788147651	0.000151775	0.043617504
C1QTNF4	0.163226739	14.26010315	3.81871752	3.734264991	0.000188264	0.05321704
CMKLR1	15.25001876	3.50154688	0.939143322	3.728447831	0.000192663	0.053582006
RPL9	169.4641162	1.599451731	0.433759319	3.687417559	0.000226541	0.062004036
TRH	69.34060727	-7.392383547	2.006990567	-3.683317534	0.000230218	0.06202579
RRAGD	31.35865281	2.702199997	0.734814902	3.677388673	0.000235634	0.062508225
STC1	48.71055409	4.724458604	1.289505336	3.663775923	0.000248524	0.064928836
ELMO3	3.588248691	-2.844142462	0.790364396	-3.598520477	0.000320033	0.08115181
UBA3	12.04155127	2.366005225	0.656915738	3.601687535	0.000316158	0.08115181
MTCH2	35.51380272	1.408333019	0.391779983	3.594703861	0.000324761	0.081157245
WSB2	101.0001741	1.203034511	0.336494111	3.575202277	0.000349957	0.086204462
C12orf49	66.43688946	1.200757056	0.34042737	3.527204812	0.000419972	0.101993987
GALNT1	35.21652269	2.625276277	0.746426786	3.517124956	0.000436248	0.103635438
METTL27	4.608766994	-3.306370433	0.940483724	-3.515606225	0.000438751	0.103635438
COL4A5	18.2655898	5.254812232	1.549694866	3.390868968	0.000696714	0.162343783
IL13RA2	7.054087986	6.546218582	1.932857694	3.386808353	0.000707108	0.162568761
MMP3	30.2627539	11.17300689	3.309517173	3.376023242	0.000735417	0.166852585
FAM118A	26.80748092	-1.521249759	0.451428575	-3.369857032	0.000752072	0.168415275
MATN2	39.33994169	3.004722856	0.89546771	3.355478731	0.000792277	0.175020223
PMPCB	11.97958281	2.859019412	0.852891401	3.352149418	0.000801867	0.175020223
CRADD	4.260725714	3.814380625	1.142649106	3.338190704	0.000843259	0.181753834
OASL	10.09192483	5.690918455	1.721206191	3.30635486	0.000945183	0.201207295
FZD7	81.4733163	-1.453930136	0.442587179	-3.285070614	0.001019568	0.214395289
CLDN4	5.005931442	-2.577354151	0.785935902	-3.279343958	0.001040487	0.216158111
NCF2	4.872009609	-5.779687835	1.778330282	-3.25006434	0.001153789	0.236842666
RNF168	51.58124422	-1.105449725	0.341007292	-3.241718729	0.001188112	0.241019045
CLEC14A	2.629744004	-5.158687295	1.597942927	-3.228330129	0.001245152	0.249652949
TSKU	65.69779069	-1.04797011	0.325380328	-3.220754361	0.001278537	0.253400116
DDX41	14.12945361	4.611956186	1.436060141	3.211534152	0.001320283	0.25579366
RPL30	198.6558473	1.370307729	0.426389664	3.213745179	0.001310159	0.25579366
HAND2	4.079538571	5.391419785	1.689112611	3.191865214	0.001413573	0.270824841
MSI2	23.68200813	3.332868332	1.045520195	3.187760837	0.001433791	0.271679713
TBC1D3	0.590761226	12.15067394	3.818287724	3.182231098	0.001461452	0.273910969
PTPN11	254.8457261	0.710753902	0.224726052	3.162757041	0.001562827	0.288638199
SASS6	6.66428585	3.315582633	1.048978213	3.16077359	0.001573508	0.288638199
C11orf74	5.399016351	2.931122742	0.928387953	3.157217555	0.001592825	0.28910605
NDUFB4	16.81632082	1.738951179	0.553449543	3.142022973	0.001677849	0.301366096
NLGN4X	6.778821671	5.33907164	1.702226787	3.136521925	0.001709647	0.303287145
RPS21	82.27884711	1.701430316	0.542873928	3.134116833	0.001723722	0.303287145
SPN	15.47735167	-1.929530145	0.619596285	-3.114173199	0.001844612	0.321279195
ARHGAP35	426.7301649	-0.769501032	0.247864093	-3.104528059	0.001905828	0.328622008
ATP5IF1	34.60823697	1.105462111	0.359050733	3.078846551	0.002078037	0.354768213
ATG3	31.12630263	1.510353182	0.493796119	3.058657456	0.002223312	0.368620867
IRF4	2.416621798	-5.573696309	1.821289962	-3.060301449	0.002211143	0.368620867
SLC25A32	8.82368137	5.38042229	1.758023822	3.06049453	0.002209718	0.368620867
RIN3	24.70707627	-2.604225691	0.852364984	-3.055294082	0.002248399	0.369230007
DKK3	241.7660232	2.837807342	0.931655748	3.045982756	0.002319211	0.370279273
P4HA3	13.43992224	4.993682306	1.638106712	3.048447498	0.002300271	0.370279273
SH3BP4	164.279867	-0.982248703	0.322056854	-3.0499233	0.002288998	0.370279273
POU3F2	11.7464008	7.114945085	2.342415704	3.037439116	0.002385976	0.376282036
SLC6A15	9.527072947	4.702744805	1.549189948	3.035615361	0.002400454	0.376282036
DYNLL1	86.85283392	1.031943454	0.341412932	3.022566983	0.002506406	0.38587464
OR1Q1	0.125456821	-11.54126518	3.8151161	-3.025141273	0.00248517	0.38587464
BACE2	37.3573336	2.104307339	0.702600505	2.995026796	0.002744207	0.415073395
BANK1	3.995316614	4.42399722	1.476310146	2.996658413	0.002729564	0.415073395
EGFL6	3.801514769	-5.381476677	1.800592333	-2.988725753	0.002801435	0.420044667
ZNF92	5.964406715	2.950606533	0.98873819	2.984214187	0.002843077	0.422613558
CLEC7A	3.197387224	-2.469990458	0.830753556	-2.973192761	0.002947193	0.434345716
INPP5B	57.08287379	-0.951867703	0.321015749	-2.965174472	0.003025113	0.442051064
RPS26	128.2656176	1.119429773	0.378042979	2.96111774	0.003065247	0.444151764
DMKN	120.4068921	-3.128478159	1.058040072	-2.956861693	0.003107875	0.446575722
ACSBG1	3.352156256	-2.650455147	0.905256126	-2.927851102	0.003413135	0.481660972
ARHGAP26	20.75725191	-2.280684673	0.781515936	-2.918283002	0.003519648	0.481660972
C17orf51	1.612787858	-7.959774378	2.72558128	-2.92039516	0.003495878	0.481660972
OAS3	40.84915163	1.953765834	0.668525716	2.922499144	0.003472346	0.481660972
SLC6A8	76.32216932	1.792183749	0.613569489	2.920914063	0.003490061	0.481660972
STEAP4	75.78430604	2.950017163	1.008412371	2.925407549	0.003440054	0.481660972
HIST1H3C	26.19546681	2.908492158	1.002910107	2.900052693	0.003730999	0.506563949
KRT80	5.481114277	-5.934975544	2.049070059	-2.896423926	0.003774421	0.508455849
RPL17	282.9967464	1.05687969	0.367175364	2.878405782	0.003996907	0.534253172
AC092824.3	8.055824822	-2.27632633	0.792725144	-2.871520284	0.004085026	0.541831517
AIF1L	8.431709987	-4.766195187	1.663385516	-2.865358115	0.004165379	0.543684723
AL139300.1	6.799534781	-5.556317574	1.94379597	-2.858488061	0.004256651	0.543684723
ASAH1	66.39527048	1.463355897	0.511658288	2.860025786	0.004236066	0.543684723
FBXL18	100.6080177	-0.812734929	0.283631979	-2.865455903	0.004164093	0.543684723
HMGN5	10.90196243	3.178799078	1.110984117	2.861246195	0.004219792	0.543684723
CCL2	16.43119098	3.44304229	1.21235311	2.83996656	0.004511826	0.557868615
CFAP221	9.245837387	-1.952999598	0.688536733	-2.836449393	0.004561821	0.557868615
CLDN11	105.3489737	-5.023770084	1.7649194	-2.846458645	0.004420847	0.557868615
GCDH	5.120907933	3.014394544	1.060236564	2.843133926	0.004467229	0.557868615
MICALL1	157.1308053	-0.760067544	0.267347192	-2.842998047	0.004469134	0.557868615
SFRP2	43.34364156	3.25636666	1.147878876	2.836855637	0.004556021	0.557868615
NUTM2E	3.217882636	-4.896409247	1.730078064	-2.830166655	0.004652376	0.564936093
PEBP1	113.3440722	1.052708338	0.372931498	2.822792773	0.004760733	0.566133263
SMIM5	4.40885902	-2.380528155	0.842956198	-2.82402355	0.00474249	0.566133263
TCEAL8	28.91650331	1.228999028	0.434935902	2.825701496	0.004717721	0.566133263
ARPIN	87.35920665	-0.98866536	0.352126419	-2.807700037	0.004989668	0.589010147
H6PD	339.8472297	-0.838409346	0.298828288	-2.805655893	0.005021429	0.589010147
MFSD10	25.25399045	1.651768367	0.589727337	2.800901813	0.005096002	0.589733994
RNF11	81.40662174	1.010735328	0.360854612	2.800948895	0.005095259	0.589733994
FAN1	6.387885278	2.655436347	0.951151685	2.791811642	0.005241386	0.602514762
ANKRD13B	7.979660537	-2.95161466	1.064251496	-2.773418379	0.005547075	0.629264609
CTSC	45.79924811	-1.011215634	0.364529704	-2.774028081	0.00553669	0.629264609
HDAC3	24.62053372	2.15388987	0.785922148	2.74058935	0.00613291	0.68196691
MTRNR2L12	44013.57812	0.914106102	0.333488434	2.741042895	0.006124451	0.68196691
NUDT4	147.7491918	0.970663353	0.354088984	2.741297803	0.006119701	0.68196691
PAX7	9.793571343	10.31659352	3.767084195	2.738615062	0.006169857	0.68196691
GALNT6	19.05060931	2.597706187	0.955745208	2.717990283	0.006567977	0.713851148
NDUFB8	48.53735783	1.216734196	0.448973416	2.710036167	0.006727587	0.713851148
NPC2	79.60255664	1.391482677	0.512556523	2.714788739	0.006631806	0.713851148
NPIPA8	9.396678186	-2.326708322	0.855091218	-2.721005984	0.006508358	0.713851148
SART3	29.58124397	2.01219712	0.741363983	2.714182462	0.006643956	0.713851148
SGSM3	20.96507291	1.60386286	0.59184579	2.709933713	0.006729666	0.713851148
ZNF24	42.47455715	0.83254275	0.307321853	2.709025543	0.006748114	0.713851148
IFI44	6.342098085	3.497618015	1.293359385	2.704289354	0.006845065	0.719691845
USP22	449.4936579	-0.557493673	0.207027394	-2.692849779	0.007084418	0.740343159
RNASET2	6.898394787	3.25372967	1.209836793	2.689395535	0.007158155	0.743542544
CPVL	5.237318945	5.306833572	1.980091287	2.680095411	0.007360118	0.759943184
COL11A2	5.329280611	-2.380367139	0.890935371	-2.671761854	0.007545418	0.769855836
TM9SF3	128.5653089	1.074600797	0.40201511	2.673035841	0.007516822	0.769855836
PCDHB2	16.02822654	1.648691625	0.61892931	2.663780173	0.007726804	0.779141975
SVIL	222.6443455	-1.225690421	0.460099023	-2.663970929	0.007722424	0.779141975
LAMA5	84.07389398	1.836666823	0.691155623	2.657385346	0.007874937	0.789462454
GK3P	1.254186972	-3.861634262	1.454838298	-2.654339158	0.007946391	0.792020953
TMEM219	37.06428271	0.660398815	0.249777354	2.643949915	0.008194478	0.812053938
MTRNR2L8	19535.47922	0.769661629	0.292273118	2.633364418	0.008454358	0.833019996
TMEM100	5.945060455	4.312748848	1.640033698	2.629670874	0.008546757	0.837339361
C2orf68	35.80076694	-1.00168812	0.382380569	-2.619610414	0.008803027	0.841876315
CCDC8	32.28070844	-1.738680903	0.662794439	-2.623258133	0.008709326	0.841876315
INSYN2A	7.279461836	-1.986597806	0.75773578	-2.621755311	0.008747821	0.841876315
PLGLB1	4.167920483	-2.824939116	1.077747936	-2.621150106	0.008763367	0.841876315
TFDP1	71.59394749	-1.099045415	0.419757071	-2.61828922	0.008837187	0.841876315
AC008878.3	4.884100571	5.402521964	2.072767261	2.60642961	0.009149163	0.849127637
EFCAB10	2.697437431	-3.162698902	1.213602517	-2.606041813	0.009159528	0.849127637
GPR157	43.3702853	-1.257394366	0.482401007	-2.606533458	0.009146389	0.849127637
PPA1	32.50128408	1.291931043	0.495553495	2.607046579	0.009132694	0.849127637
SNRNP25	8.464781735	2.497319079	0.955760036	2.612914315	0.008977381	0.849127637
AC004086.1	359.7727196	0.841322236	0.324317132	2.594134424	0.00948294	0.866715028
CARD10	26.12883065	-2.191813156	0.845804889	-2.591393341	0.009558817	0.866715028
CFH	67.7056416	2.26844465	0.874997642	2.592515159	0.009527698	0.866715028
ITFG1	33.26589955	1.197797079	0.461585935	2.59496009	0.00946019	0.866715028
PDCD10	12.60259983	1.267031708	0.489221574	2.589893364	0.009600567	0.866715028
AC005255.1	13.39813431	-1.323993611	0.51196377	-2.58610802	0.009706651	0.871727996
HIST1H2BD	56.93855944	1.941434039	0.752153415	2.58116762	0.009846676	0.879721414
THY1	376.8696005	1.869070514	0.724748819	2.578921779	0.009910923	0.880897104
BLM	2.642544862	4.411357934	1.717174376	2.568963291	0.010200326	0.883840328
MCAT	10.42985331	-1.893144594	0.73545538	-2.5741121	0.010049771	0.883840328
MTRNR2L6	5027.800915	0.754642573	0.293674165	2.56965938	0.010179855	0.883840328
NEDD1	26.00270079	1.132715051	0.440906869	2.569057392	0.010197557	0.883840328
TCF7	29.51963129	-1.737652724	0.67572107	-2.571553267	0.010124344	0.883840328
NPAS1	8.886039854	-1.967584511	0.766668028	-2.566410023	0.010275728	0.885921897
PPTC7	35.52724567	1.211351323	0.472329281	2.564633129	0.010328495	0.886040977
DNASE1L1	27.48553165	1.654859053	0.646640941	2.559162201	0.010492477	0.88828113
RSL24D1	26.49580738	1.44243158	0.563105606	2.561564942	0.010420176	0.88828113
SYTL3	4.774088212	-2.171052563	0.848528108	-2.558610071	0.010509154	0.88828113
SFN	1.553777909	-4.406560454	1.724176545	-2.555747825	0.010595988	0.891251792
NECTIN4	1.890010885	-3.65051286	1.431030627	-2.550967667	0.010742429	0.893779358
TTLL3	45.89979363	-1.37274841	0.538179293	-2.550726919	0.010749852	0.893779358
UBE2N	30.14564828	1.232696691	0.483467196	2.549700788	0.010781541	0.893779358
ALPL	26.66508949	-2.82841361	1.110845145	-2.546181727	0.010890848	0.898520974
ALDOC	8.076839612	2.757168222	1.084867663	2.541478853	0.011038462	0.906362888
CCNB2	22.15727684	1.65746282	0.652679826	2.539473038	0.01110196	0.907256398
NPIPB13	7.357734455	3.956951571	1.565373228	2.527800719	0.011477948	0.929174926
ZNF598	19.10564617	-1.761298824	0.696519234	-2.528715271	0.011448086	0.929174926
AC270291.5	13.96072208	-1.469051824	0.582168841	-2.523411973	0.011622215	0.936457293
LAMC2	13.06964137	-2.209380396	0.877567201	-2.517619612	0.011815084	0.939417046
NPTX1	50.31223996	-6.180133007	2.453919059	-2.518474676	0.011786436	0.939417046
SLC7A8	67.16256902	1.926463524	0.765258655	2.517401812	0.011822392	0.939417046
PTER	7.443024415	-1.689235877	0.671553667	-2.515414569	0.011889249	0.940395948
ALKBH2	7.172962477	2.017497274	0.803711567	2.510225505	0.012065408	0.948729576
MROH6	2.517344511	-5.068965027	2.020249522	-2.509078691	0.012104652	0.948729576
APOLD1	16.96724166	-2.198014378	0.878443396	-2.502169621	0.012343477	0.953138321
KIAA1211	6.38403382	3.149504046	1.258771867	2.502045151	0.012347818	0.953138321
TRIM56	236.8279942	-0.741558846	0.296497109	-2.501066026	0.012382009	0.953138321
TUBD1	4.114364115	-2.34459551	0.936796517	-2.502779917	0.012322214	0.953138321
ARPC3	53.55128048	1.012833008	0.405744273	2.496234883	0.012551946	0.953450219
BMP8A	10.61022548	-1.325763448	0.53080962	-2.497625134	0.012502833	0.953450219
NRDE2	33.8458399	-1.191683302	0.477262262	-2.496915003	0.012527898	0.953450219
C2orf76	2.419112268	2.949802289	1.186748821	2.485616363	0.01293273	0.960750959
CLK4	5.579621647	2.701150154	1.097155927	2.46195649	0.013818143	0.960750959
CNGA3	3.757449169	-5.143772645	2.074822051	-2.479139183	0.01316999	0.960750959
CXCR5	14.24809091	-6.88028702	2.771917943	-2.482139501	0.013059614	0.960750959
DBI	49.38673757	1.634392258	0.658248401	2.48294148	0.013030249	0.960750959
DYNC1H1	564.3538618	-0.683802115	0.2763153	-2.474716798	0.013334186	0.960750959
EPN3	0.316620666	-9.337669334	3.785982574	-2.466379375	0.013648669	0.960750959
ESR2	4.284732537	-2.100926924	0.848130268	-2.477127632	0.013244453	0.960750959
GNB1L	14.86194692	-1.402799273	0.564983805	-2.482901741	0.013031703	0.960750959
MAGED1	329.0437795	1.192353331	0.480901854	2.479410967	0.013159958	0.960750959
MGAT5B	4.83671527	-5.424923139	2.180826733	-2.487553484	0.012862511	0.960750959
MOB4	13.9206041	1.124746644	0.456521137	2.463733996	0.013749811	0.960750959
PORCN	6.410829714	-2.833665801	1.143787204	-2.477441425	0.013232813	0.960750959
RNF115	89.81694811	-0.697636114	0.282383901	-2.470523682	0.013491539	0.960750959
SH3BGRL	11.27276627	2.033462788	0.825423731	2.463538073	0.013757328	0.960750959
SKA2	20.42185371	1.110822519	0.450155726	2.467640544	0.013600682	0.960750959
SYNPO2	171.153948	2.405560014	0.974184702	2.469305882	0.013537545	0.960750959
TMEM79	2.755784083	-4.476654675	1.815512503	-2.465780141	0.013671522	0.960750959
TTPA	2.104477872	-2.750762532	1.115018381	-2.46701093	0.01362462	0.960750959
U2AF1L5	32.21779575	1.872376626	0.756264498	2.475822456	0.013292966	0.960750959
ZNF641	23.30266195	1.027470299	0.41721212	2.46270482	0.013789339	0.960750959
AMN1	5.560590525	1.967414176	0.802449782	2.451759874	0.014215949	0.980502456
POU5F2	9.441484197	-1.808623121	0.737484287	-2.452422585	0.014189791	0.980502456
ATP6V1F	48.25285247	0.871188351	0.355765394	2.448772041	0.014334414	0.984734248
C18orf21	6.801347888	2.30360179	0.941619641	2.446424958	0.014428083	0.987235848
COL15A1	369.6020747	2.367630175	0.968485637	2.444672471	0.014498374	0.987591327
ZBTB8B	16.18483788	-1.248062411	0.510780039	-2.443443981	0.014547828	0.987591327
RPL36A	116.2373788	1.367536265	0.56031756	2.440645025	0.014661058	0.991374988
ZNF835	3.646482913	-2.349840297	0.96397151	-2.437665713	0.014782437	0.995677977
A1BG	0.053364097	0.065897046	3.819700862	0.017251887	0.986235669	0.999652389
A1CF	1.324546634	-1.056345857	2.215386455	-0.476822386	0.633488603	0.999652389
A2M	29.51597536	0.934892083	1.247519417	0.749400827	0.453615653	0.999652389
A2ML1	0.944654458	0.462498124	1.695781632	0.272734481	0.785057327	0.999652389
A3GALT2	0.030655319	-0.655432609	3.819700862	-0.171592654	0.863757783	0.999652389
A4GALT	58.51296212	-0.370783129	0.622143242	-0.595977105	0.551190521	0.999652389
A4GNT	0.354975655	1.364045721	3.807905088	0.358214212	0.720183012	0.999652389
AAAS	22.49803442	0.518911856	0.610889498	0.849436531	0.395638433	0.999652389
AACS	24.2694173	-0.202891003	0.555662516	-0.365133506	0.715011751	0.999652389
AADAC	0.418304148	-1.874289291	3.799181078	-0.493340342	0.621772128	0.999652389
AADACL2	0.08655246	0.641019459	3.819700862	0.167819283	0.866725452	0.999652389
AADACL4	0.048130787	0.065897046	3.819700862	0.017251887	0.986235669	0.999652389
AADAT	7.273072246	0.013675565	0.78200993	0.017487713	0.986047535	0.999652389
AAGAB	19.87371936	0.325604551	0.796946083	0.408565344	0.682858668	0.999652389
AAK1	247.4210561	-0.214451103	0.278247554	-0.770720532	0.440872599	0.999652389
AAMDC	9.131210399	-0.151818931	0.605595589	-0.250693588	0.802051019	0.999652389
AAMP	49.16073847	-0.119030861	0.509658323	-0.233550314	0.815334105	0.999652389
AANAT	0.34348699	-2.358681669	3.773849355	-0.625006842	0.531966567	0.999652389
AAR2	28.26197514	0.100731352	0.544988486	0.184832073	0.85336075	0.999652389
AARD	2.270977016	0.400670879	1.160176316	0.345353438	0.729828677	0.999652389
AARS	281.5297429	0.017390832	0.327920888	0.053033619	0.957705121	0.999652389
AARS2	34.01897736	-0.408890107	0.346139899	-1.181285682	0.237489253	0.999652389
AARSD1	2.843711743	3.046582354	2.015330918	1.511703277	0.130609365	0.999652389
AASDH	5.209944406	0.403577595	1.255457666	0.321458545	0.747862923	0.999652389
AASDHPPT	7.735830844	1.132017733	0.889047009	1.273293449	0.20291393	0.999652389
AASS	18.73998326	0.43328225	0.661855057	0.654648243	0.512694256	0.999652389
AATF	46.09946912	-0.308401298	0.334093928	-0.923097584	0.355956354	0.999652389
AATK	0.63591033	2.296204068	3.794110623	0.605202193	0.545044659	0.999652389
ABAT	11.29868159	0.461262865	1.049956041	0.439316359	0.660432322	0.999652389
ABCA1	93.34301107	0.016340856	0.800955314	0.020401708	0.983722921	0.999652389
ABCA10	0.274037841	-0.316534226	3.793418969	-0.083442991	0.933499306	0.999652389
ABCA12	0.297972653	-1.851253636	3.786862181	-0.488862163	0.624939285	0.999652389
ABCA13	4.484639006	2.204320785	1.488401924	1.480998345	0.138607015	0.999652389
ABCA2	136.0219646	-0.756283196	0.972747772	-0.777471013	0.43688093	0.999652389
ABCA3	30.92199437	1.567811269	1.046302704	1.498429912	0.13402159	0.999652389
ABCA4	0.929460202	-3.095437765	1.885351016	-1.641836316	0.100623931	0.999652389
ABCA5	6.649276455	0.07875325	1.036221889	0.076000373	0.939418802	0.999652389
ABCA6	25.42549566	-3.888960981	2.007100218	-1.937601793	0.052671824	0.999652389
ABCA7	22.33615002	0.990405165	0.702000749	1.410832064	0.158294138	0.999652389
ABCA8	25.39406826	-1.510780428	1.666271969	-0.906682976	0.364574469	0.999652389
ABCA9	51.45392892	-1.668664099	0.905155505	-1.843510966	0.065254442	0.999652389
ABCB10	19.49713899	0.352167104	0.43497962	0.80961748	0.418160059	0.999652389
ABCB11	1.422451957	0.331618685	1.58979665	0.208591888	0.834766844	0.999652389
ABCB4	0.667171454	-3.159864484	3.744197574	-0.843936363	0.398704967	0.999652389
ABCB5	19.88755991	-0.827448716	1.182727511	-0.699610611	0.484170514	0.999652389
ABCB6	11.98875022	-0.814499647	0.849932197	-0.958311322	0.337905796	0.999652389
ABCB7	9.275233743	1.15091262	0.971769074	1.184347857	0.236275392	0.999652389
ABCB8	25.80370115	0.018904396	0.615422092	0.030717773	0.975494617	0.999652389
ABCB9	12.9836165	-0.96244937	0.786118711	-1.224305384	0.220837046	0.999652389
ABCC1	317.9318252	-0.605124828	0.334251728	-1.810386536	0.070235866	0.999652389
ABCC10	35.31717819	-0.592841375	0.631111841	-0.939360248	0.347545815	0.999652389
ABCC2	2.86081299	0.154154996	1.583290419	0.097363689	0.92243758	0.999652389
ABCC3	7.492931344	-0.244149234	1.175591042	-0.207682115	0.835477183	0.999652389
ABCC4	34.77322437	0.461208363	0.54990047	0.838712438	0.401630697	0.999652389
ABCC5	39.36928658	0.148591891	0.336183785	0.441996009	0.658492094	0.999652389
ABCC6	3.187343416	-0.759795276	0.739108411	-1.027988946	0.303955028	0.999652389
ABCC8	0.652234623	-1.259205734	2.187994876	-0.575506711	0.564948653	0.999652389
ABCC9	67.85821711	-0.438984114	0.489117085	-0.897503128	0.369450505	0.999652389
ABCD1	26.00798419	0.745134404	0.344104663	2.165429547	0.030354805	0.999652389
ABCD3	31.04997148	-0.177283859	0.357756518	-0.495543339	0.620216638	0.999652389
ABCD4	5.205886272	0.790117378	1.085177986	0.728099343	0.466552776	0.999652389
ABCE1	26.41322519	1.070273405	0.502056342	2.131779475	0.03302498	0.999652389
ABCF1	95.79956395	-0.439339669	0.42405649	-1.036040431	0.300183281	0.999652389
ABCF2	97.19312048	-0.12411185	0.319063038	-0.388988494	0.697284658	0.999652389
ABCF3	32.79725498	-0.284639509	0.871743794	-0.326517391	0.744032934	0.999652389
ABCG1	1.798252475	0.52680728	1.994367555	0.264147538	0.791666234	0.999652389
